"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/10/2025","Saldo Anterior","","","151.915,74",""
"01/10/2025","Compra com Carto","01/10 Padaria Pao de Mel","101001","-28,40","Sada"
"02/10/2025","Pix - Enviado","02/10 Uber *UBER","101002","-45,90","Sada"
"03/10/2025","Pix - Recebido","03/10 10:15 Consultoria TI","3992831122","5.400,00","Entrada"
"00/00/0000","Saldo do dia","","","157.241,44",""
"04/10/2025","Compra com Carto","04/10 Posto Petrobras","101003","-230,00","Sada"
"05/10/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/10/2025","Pix - Enviado","05/10 iFood *IFOOD","101004","-112,40","Sada"
"00/00/0000","Saldo do dia","","","155.249,04",""
"07/10/2025","Compra com Carto","07/10 Restaurante Sabor","101005","-86,20","Sada"
"08/10/2025","Pix - Enviado","08/10 Uber *UBER","101006","-31,00","Sada"
"10/10/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"10/10/2025","Compra com Carto","10/10 Drogaria Araujo","101007","-145,90","Sada"
"00/00/0000","Saldo do dia","","","154.850,94",""
"12/10/2025","Pix - Recebido","12/10 14:45 PROJETO ALPHA","4033221144","3.900,00","Entrada"
"13/10/2025","Pix - Enviado","13/10 iFood *IFOOD","101008","-94,50","Sada"
"14/10/2025","Compra com Carto","14/10 Uber *UBER","101009","-52,00","Sada"
"00/00/0000","Saldo do dia","","","158.604,44",""
"15/10/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"15/10/2025","Compra com Carto","15/10 Supermercado BH","101010","-632,10","Sada"
"17/10/2025","Pix - Enviado","17/10 Restaurante Sabor","101011","-114,00","Sada"
"18/10/2025","Compra com Carto","18/10 Padaria Pao de Mel","101012","-22,30","Sada"
"00/00/0000","Saldo do dia","","","157.787,14",""
"20/10/2025","Pix - Recebido","20/10 09:20 REGINA CLAU","3881726655","3.200,00","Entrada"
"21/10/2025","Compra com Carto","21/10 Posto Petrobras","101013","-210,00","Sada"
"22/10/2025","Pix - Enviado","22/10 iFood *IFOOD","101014","-82,50","Sada"
"23/10/2025","Compra com Carto","23/10 Drogaria Araujo","101015","-38,70","Sada"
"00/00/0000","Saldo do dia","","","160.655,94",""
"25/10/2025","Pix - Recebido","25/10 16:30 Saulo Borge","3991122338","2.100,00","Entrada"
"26/10/2025","Compra com Carto","26/10 Supermercado BH","101016","-412,00","Sada"
"27/10/2025","Pix - Enviado","27/10 Uber *UBER","101017","-27,90","Sada"
"28/10/2025","Compra com Carto","28/10 Padaria Pao de Mel","101018","-15,40","Sada"
"29/10/2025","Pix - Enviado","29/10 Restaurante Sabor","101019","-125,00","Sada"
"30/10/2025","Compra com Carto","30/10 Posto Petrobras","101020","-180,00","Sada"
"00/00/0000","Saldo do dia","","","161.995,64",""
"31/10/2025","S A L D O","","","161.995,64",""
