"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/12/2024","Saldo Anterior","","","70.216,45",""
"02/12/2024","Pix - Enviado","02/12 Uber *UBER","601401","-33,50","Sada"
"03/12/2024","Compra com Carto","03/12 Padaria Pao de Mel","601402","-25,80","Sada"
"00/00/0000","Saldo do dia","","","70.157,15",""
"05/12/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"05/12/2024","Pix - Recebido","05/12 09:40 Consultoria TI","3991122334","5.500,00","Entrada"
"06/12/2024","Compra com Carto","06/12 Posto Petrobras","601403","-250,00","Sada"
"00/00/0000","Saldo do dia","","","73.907,15",""
"08/12/2024","Pix - Enviado","08/12 iFood *IFOOD","601404","-142,00","Sada"
"09/12/2024","Compra com Carto","09/12 Restaurante Sabor","601405","-118,00","Sada"
"10/12/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"00/00/0000","Saldo do dia","","","73.527,15",""
"12/12/2024","Pix - Recebido","12/12 15:20 PROJETO ALPHA","4033445566","4.800,00","Entrada"
"13/12/2024","Compra com Carto","13/12 Supermercado BH","601406","-654,90","Sada"
"14/12/2024","Pix - Enviado","14/12 Uber *UBER","601407","-52,00","Sada"
"00/00/0000","Saldo do dia","","","77.620,25",""
"15/12/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"16/12/2024","Compra com Carto","16/12 Drogaria Araujo","601408","-92,30","Sada"
"17/12/2024","Pix - Recebido","17/12 11:00 REGINA","811234","3.200,00","Entrada"
"00/00/0000","Saldo do dia","","","80.682,45",""
"19/12/2024","Pix - Enviado","19/12 iFood *IFOOD","601409","-89,00","Sada"
"20/12/2024","Compra com Carto","20/12 Posto Petrobras","601410","-200,00","Sada"
"22/12/2024","Pix - Enviado","22/12 Restaurante Sabor","601411","-210,00","Sada"
"00/00/0000","Saldo do dia","","","80.183,45",""
"24/12/2024","Compra com Carto","24/12 Padaria Pao de Mel","601412","-156,00","Sada"
"26/12/2024","Pix - Enviado","26/12 Uber *UBER","601413","-44,80","Sada"
"28/12/2024","Compra com Carto","28/12 Supermercado BH","601414","-320,00","Sada"
"00/00/0000","Saldo do dia","","","79.662,65",""
"30/12/2024","Pix - Enviado","30/12 iFood *IFOOD","601415","-112,00","Sada"
"31/12/2024","S A L D O","","","79.550,65",""
