"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/02/2026","Saldo Anterior","","","88.005,05",""
"01/02/2026","Compra com Carto","01/02 Uber *UBER","801601","-33,20","Sada"
"03/02/2026","Pix - Recebido","03/02 11:20 Consultoria TI","3996611223","4.500,00","Entrada"
"00/00/0000","Saldo do dia","","","92.471,85",""
"05/02/2026","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/02/2026","Compra com Carto","05/02 Restaurante Sabor","801602","-82,50","Sada"
"07/02/2026","Pix - Enviado","07/02 Posto Petrobras","801603","-195,00","Sada"
"00/00/0000","Saldo do dia","","","90.544,35",""
"09/02/2026","Compra com Carto","09/02 Drogaria Araujo","801604","-112,00","Sada"
"10/02/2026","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"12/02/2026","Pix - Recebido","12/02 16:30 MARCOS EMILI","023344","3.800,00","Entrada"
"00/00/0000","Saldo do dia","","","94.097,35",""
"14/02/2026","Pix - Enviado","14/02 iFood *IFOOD","801605","-89,90","Sada"
"15/02/2026","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"16/02/2026","Compra com Carto","16/02 Supermercado BH","801606","-422,10","Sada"
"17/02/2026","Pix - Enviado","17/02 Uber *UBER","801607","-41,50","Sada"
"00/00/0000","Saldo do dia","","","93.494,95",""
"19/02/2026","Pix - Recebido","19/02 10:00 REGINA","3883456","2.750,00","Entrada"
"20/02/2026","Compra com Carto","20/02 Restaurante Sabor","801608","-76,30","Sada"
"22/02/2026","Pix - Enviado","22/02 iFood *IFOOD","801609","-115,00","Sada"
"00/00/0000","Saldo do dia","","","96.053,65",""
"24/02/2026","Compra com Carto","24/02 Padaria Pao de Mel","801610","-21,40","Sada"
"26/02/2026","Pix - Enviado","26/02 Posto Petrobras","801611","-180,00","Sada"
"28/02/2026","S A L D O","","","95.852,25",""
