"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/06/2024","Saldo Anterior","","","30.579,37",""
"03/06/2024","Pix - Enviado","03/06 Uber *UBER","112039","-18,50","Sada"
"00/00/0000","Saldo do dia","","","30.560,87",""
"05/06/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"07/06/2024","Pix - Recebido","07/06 11:20 Consultoria TI","3991022384","4.850,00","Entrada"
"00/00/0000","Saldo do dia","","","33.910,87",""
"10/06/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"12/06/2024","Compra com Carto","12/06 Padaria Pao de Mel","221093","-45,60","Sada"
"00/00/0000","Saldo do dia","","","33.745,27",""
"15/06/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"15/06/2024","Pix - Recebido","15/06 15:45 MARCOS EMILI","0129930","2.100,00","Entrada"
"00/00/0000","Saldo do dia","","","35.799,77",""
"18/06/2024","Compra com Carto","18/06 Restaurante Sabor","331092","-125,00","Sada"
"20/06/2024","Pix - Enviado","20/06 iFood *IFOOD","441029","-88,20","Sada"
"00/00/0000","Saldo do dia","","","35.586,57",""
"22/06/2024","Compra com Carto","22/06 Drogaria Araujo","551022","-210,40","Sada"
"25/06/2024","Pix - Enviado","25/06 Posto Petrobras","661092","-195,00","Sada"
"00/00/0000","Saldo do dia","","","35.181,17",""
"28/06/2024","Compra com Carto","28/06 Livraria Leitura","771029","-67,30","Sada"
"30/06/2024","S A L D O","","","35.113,87",""
