"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/10/2024","Saldo Anterior","","","55.023,35",""
"01/10/2024","Compra com Carto","01/10 Padaria Pao de Mel","401201","-21,50","Sada"
"02/10/2024","Pix - Enviado","02/10 Uber *UBER","401202","-32,40","Sada"
"00/00/0000","Saldo do dia","","","54.969,45",""
"03/10/2024","Pix - Recebido","03/10 10:15 Consultoria TI","3992831122","4.800,00","Entrada"
"04/10/2024","Compra com Carto","04/10 Posto Petrobras","401203","-220,00","Sada"
"00/00/0000","Saldo do dia","","","59.549,45",""
"05/10/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"06/10/2024","Pix - Enviado","06/10 iFood *IFOOD","401204","-98,30","Sada"
"00/00/0000","Saldo do dia","","","57.951,15",""
"08/10/2024","Compra com Carto","08/10 Restaurante Sabor","401205","-76,20","Sada"
"10/10/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"10/10/2024","Compra com Carto","10/10 Drogaria Araujo","401206","-145,90","Sada"
"00/00/0000","Saldo do dia","","","57.609,05",""
"12/10/2024","Pix - Recebido","12/10 14:45 PROJETO ALPHA","4033221144","3.600,00","Entrada"
"13/10/2024","Pix - Enviado","13/10 Uber *UBER","401207","-45,00","Sada"
"00/00/0000","Saldo do dia","","","61.164,05",""
"15/10/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"15/10/2024","Compra com Carto","15/10 Supermercado BH","401208","-532,10","Sada"
"17/10/2024","Pix - Enviado","17/10 Restaurante Sabor","401209","-64,00","Sada"
"00/00/0000","Saldo do dia","","","60.522,45",""
"20/10/2024","Pix - Recebido","20/10 09:20 REGINA CLAU","3881726655","2.900,00","Entrada"
"22/10/2024","Compra com Carto","22/10 Posto Petrobras","401210","-190,00","Sada"
"23/10/2024","Pix - Enviado","23/10 iFood *IFOOD","401211","-82,50","Sada"
"00/00/0000","Saldo do dia","","","63.149,95",""
"25/10/2024","Compra com Carto","25/10 Drogaria Araujo","401212","-38,70","Sada"
"27/10/2024","Pix - Enviado","27/10 Uber *UBER","401213","-27,90","Sada"
"28/10/2024","Compra com Carto","28/10 Padaria Pao de Mel","401214","-15,40","Sada"
"30/10/2024","Pix - Enviado","30/10 Supermercado BH","401215","-410,00","Sada"
"31/10/2024","S A L D O","","","62.657,95",""
