"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/06/2025","Saldo Anterior","","","118.859,45",""
"02/06/2025","Compra com Carto","02/06 Padaria Pao de Mel","300301","-18,50","Sada"
"03/06/2025","Pix - Enviado","03/06 Uber *UBER","300302","-42,30","Sada"
"00/00/0000","Saldo do dia","","","118.798,65",""
"04/06/2025","Pix - Recebido","04/06 10:45 Consultoria TI","3991122446","5.500,00","Entrada"
"05/06/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"06/06/2025","Compra com Carto","06/06 Restaurante Sabor","300303","-84,20","Sada"
"00/00/0000","Saldo do dia","","","122.564,45",""
"08/06/2025","Pix - Enviado","08/06 iFood *IFOOD","300304","-132,00","Sada"
"09/06/2025","Compra com Carto","09/06 Posto Petrobras","300305","-250,00","Sada"
"10/06/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"12/06/2025","Pix - Recebido","12/06 15:30 PROJETO ALPHA","4077665544","4.100,00","Entrada"
"00/00/0000","Saldo do dia","","","126.147,45",""
"14/06/2025","Compra com Carto","14/06 Drogaria Araujo","300306","-98,50","Sada"
"15/06/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"16/06/2025","Pix - Enviado","16/06 Uber *UBER","300307","-55,00","Sada"
"00/00/0000","Saldo do dia","","","125.945,05",""
"18/06/2025","Pix - Recebido","18/06 09:15 Saulo Borge","3887788990","2.450,00","Entrada"
"20/06/2025","Compra com Carto","20/06 Restaurante Sabor","300308","-125,00","Sada"
"22/06/2025","Pix - Enviado","22/06 iFood *IFOOD","300309","-76,20","Sada"
"24/06/2025","Compra com Carto","24/06 Supermercado BH","300310","-412,40","Sada"
"00/00/0000","Saldo do dia","","","127.781,45",""
"26/06/2025","Pix - Enviado","26/06 Posto Petrobras","300311","-190,00","Sada"
"28/06/2025","Compra com Carto","28/06 Drogaria Araujo","300312","-44,10","Sada"
"30/06/2025","S A L D O","","","127.547,35",""
