"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/01/2025","Saldo Anterior","","","79.550,65",""
"02/01/2025","Compra com Carto","02/01 Padaria Pao de Mel","701501","-28,90","Sada"
"02/01/2025","Pix - Enviado","02/01 Uber *UBER","701502","-45,20","Sada"
"00/00/0000","Saldo do dia","","","79.476,55",""
"04/01/2025","Pix - Recebido","04/01 10:30 Consultoria TI","3995522331","5.000,00","Entrada"
"05/01/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/01/2025","Compra com Carto","05/01 Posto Petrobras","701503","-235,00","Sada"
"00/00/0000","Saldo do dia","","","82.591,55",""
"07/01/2025","Pix - Enviado","07/01 iFood *IFOOD","701504","-92,30","Sada"
"08/01/2025","Compra com Carto","08/01 Restaurante Sabor","701505","-64,00","Sada"
"09/01/2025","Pix - Recebido","09/01 14:15 PROJETO ALPHA","4044332211","4.200,00","Entrada"
"00/00/0000","Saldo do dia","","","86.635,25",""
"10/01/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"10/01/2025","Compra com Carto","10/01 Drogaria Araujo","701506","-88,20","Sada"
"12/01/2025","Pix - Enviado","12/01 Uber *UBER","701507","-31,00","Sada"
"00/00/0000","Saldo do dia","","","86.381,05",""
"15/01/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"15/01/2025","Compra com Carto","15/01 Supermercado BH","701508","-612,40","Sada"
"17/01/2025","Pix - Enviado","17/01 iFood *IFOOD","701509","-102,00","Sada"
"18/01/2025","Pix - Recebido","18/01 09:20 Saulo Borge","3882233445","3.100,00","Entrada"
"00/00/0000","Saldo do dia","","","88.817,75",""
"20/01/2025","Compra com Carto","20/01 Restaurante Sabor","701510","-55,00","Sada"
"22/01/2025","Pix - Enviado","22/01 Posto Petrobras","701511","-210,00","Sada"
"24/01/2025","Compra com Carto","24/01 Drogaria Araujo","701512","-42,30","Sada"
"25/01/2025","Pix - Enviado","25/01 Uber *UBER","701513","-29,90","Sada"
"00/00/0000","Saldo do dia","","","88.480,55",""
"27/01/2025","Compra com Carto","27/01 Supermercado BH","701514","-380,00","Sada"
"29/01/2025","Pix - Enviado","29/01 iFood *IFOOD","701515","-77,00","Sada"
"30/01/2025","Compra com Carto","30/01 Padaria Pao de Mel","701516","-18,50","Sada"
"31/01/2025","S A L D O","","","88.005,05",""
