"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/07/2025","Saldo Anterior","","","127.436,90",""
"02/07/2025","Compra com Carto","02/07 Padaria Pao de Mel","700701","-25,40","Sada"
"03/07/2025","Pix - Enviado","03/07 Uber *UBER","700702","-44,20","Sada"
"04/07/2025","Pix - Recebido","04/07 10:20 Consultoria TI","4001122330","5.800,00","Entrada"
"00/00/0000","Saldo do dia","","","133.167,30",""
"05/07/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/07/2025","Compra com Carto","05/07 Restaurante Sabor","700703","-112,50","Sada"
"07/07/2025","Pix - Enviado","07/07 Posto Petrobras","700704","-240,00","Sada"
"00/00/0000","Saldo do dia","","","131.164,80",""
"09/07/2025","Compra com Carto","09/07 Drogaria Araujo","700705","-58,20","Sada"
"10/07/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"10/07/2025","Pix - Recebido","10/07 15:45 PROJETO ALPHA","4077665544","4.200,00","Entrada"
"00/00/0000","Saldo do dia","","","135.171,60",""
"12/07/2025","Compra com Carto","12/07 Uber *UBER","700706","-31,50","Sada"
"14/07/2025","Pix - Enviado","14/07 iFood *IFOOD","700707","-92,00","Sada"
"15/07/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"15/07/2025","Compra com Carto","15/07 Supermercado BH","700708","-614,30","Sada"
"00/00/0000","Saldo do dia","","","134.384,90",""
"17/07/2025","Pix - Recebido","17/07 11:30 REGINA CLAU","3887788991","3.150,00","Entrada"
"19/07/2025","Compra com Carto","19/07 Restaurante Sabor","700709","-84,00","Sada"
"21/07/2025","Pix - Enviado","21/07 Posto Petrobras","700710","-210,00","Sada"
"23/07/2025","Compra com Carto","23/07 Drogaria Araujo","700711","-42,50","Sada"
"00/00/0000","Saldo do dia","","","137.198,40",""
"25/07/2025","Pix - Enviado","25/07 iFood *IFOOD","700712","-76,20","Sada"
"26/07/2025","Compra com Carto","26/07 Padaria Pao de Mel","700713","-18,90","Sada"
"28/07/2025","Pix - Recebido","28/07 09:15 Saulo Borge","3889911223","2.400,00","Entrada"
"00/00/0000","Saldo do dia","","","139.503,30",""
"29/07/2025","Compra com Carto","29/07 Supermercado BH","700714","-345,00","Sada"
"31/07/2025","Pix - Enviado","31/07 Restaurante Sabor","700715","-98,00","Sada"
"31/07/2025","S A L D O","","","139.060,30",""
