"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/05/2024","Saldo Anterior","","","25.814,12",""
"03/05/2024","Compra com Carto","03/05 Padaria Pao de Mel","221039","-22,30","Sada"
"00/00/0000","Saldo do dia","","","25.791,82",""
"05/05/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"06/05/2024","Pix - Recebido","06/05 09:12 Consultoria TI","3881022930","4.500,00","Entrada"
"00/00/0000","Saldo do dia","","","28.791,82",""
"10/05/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"12/05/2024","Pix - Enviado","12/05 iFood *IFOOD","991022","-78,50","Sada"
"00/00/0000","Saldo do dia","","","28.593,32",""
"15/05/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"15/05/2024","Compra com Carto","15/05 Posto Petrobras","331022","-150,00","Sada"
"00/00/0000","Saldo do dia","","","28.397,82",""
"18/05/2024","Pix - Recebido","18/05 16:00 REGINA CLAU","4099112233","2.800,00","Entrada"
"00/00/0000","Saldo do dia","","","31.197,82",""
"20/05/2024","Compra com Carto","20/05 Drogaria Araujo","441029","-95,40","Sada"
"22/05/2024","Pix - Enviado","22/05 Restaurante Sabor","552011","-64,00","Sada"
"00/00/0000","Saldo do dia","","","31.038,42",""
"25/05/2024","Pix - Enviado","25/05 Uber *UBER","661022","-38,90","Sada"
"28/05/2024","Compra com Carto","28/05 Supermercado BH","771022","-420,15","Sada"
"00/00/0000","Saldo do dia","","","30.579,37",""
"31/05/2024","S A L D O","","","30.579,37",""
