"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/03/2025","Saldo Anterior","","","95.852,25",""
"01/03/2025","Compra com Carto","01/03 Padaria Pao de Mel","901701","-24,50","Sada"
"02/03/2025","Pix - Enviado","02/03 Uber *UBER","901702","-38,20","Sada"
"00/00/0000","Saldo do dia","","","95.789,55",""
"04/03/2025","Pix - Recebido","04/03 11:45 Consultoria TI","3997733441","5.200,00","Entrada"
"05/03/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"06/03/2025","Compra com Carto","06/03 Restaurante Sabor","901703","-94,10","Sada"
"00/00/0000","Saldo do dia","","","99.245,45",""
"08/03/2025","Pix - Enviado","08/03 iFood *IFOOD","901704","-126,00","Sada"
"10/03/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"10/03/2025","Compra com Carto","10/03 Drogaria Araujo","901705","-62,30","Sada"
"00/00/0000","Saldo do dia","","","98.922,15",""
"12/03/2025","Pix - Recebido","12/03 15:10 PROJETO ALPHA","4055443322","3.900,00","Entrada"
"13/03/2025","Compra com Carto","13/03 Posto Petrobras","901706","-240,00","Sada"
"14/03/2025","Pix - Enviado","14/03 Uber *UBER","901707","-47,90","Sada"
"00/00/0000","Saldo do dia","","","102.534,25",""
"15/03/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"16/03/2025","Compra com Carto","16/03 Supermercado BH","901708","-588,40","Sada"
"18/03/2025","Pix - Recebido","18/03 09:40 Saulo Borge","3884455112","2.500,00","Entrada"
"00/00/0000","Saldo do dia","","","104.396,95",""
"20/03/2025","Pix - Enviado","20/03 iFood *IFOOD","901709","-92,00","Sada"
"22/03/2025","Compra com Carto","22/03 Restaurante Sabor","901710","-110,00","Sada"
"24/03/2025","Pix - Enviado","24/03 Posto Petrobras","901711","-185,00","Sada"
"25/03/2025","Compra com Carto","25/03 Drogaria Araujo","901712","-31,50","Sada"
"00/00/0000","Saldo do dia","","","103.978,45",""
"27/03/2025","Pix - Enviado","27/03 Uber *UBER","901713","-22,60","Sada"
"29/03/2025","Compra com Carto","29/03 Supermercado BH","901714","-210,00","Sada"
"30/03/2025","Pix - Enviado","30/03 Padaria Pao de Mel","901715","-44,00","Sada"
"31/03/2025","S A L D O","","","103.701,85",""
