"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/05/2025","Saldo Anterior","","","111.555,95",""
"02/05/2025","Pix - Enviado","02/05 Uber *UBER","200201","-21,90","Sada"
"00/00/0000","Saldo do dia","","","111.534,05",""
"04/05/2025","Pix - Recebido","04/05 10:15 Consultoria TI","3999922335","4.900,00","Entrada"
"05/05/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/05/2025","Compra com Carto","05/05 Restaurante Sabor","200202","-112,00","Sada"
"00/00/0000","Saldo do dia","","","114.672,05",""
"08/05/2025","Pix - Enviado","08/05 iFood *IFOOD","200203","-89,50","Sada"
"09/05/2025","Compra com Carto","09/05 Posto Petrobras","200204","-230,00","Sada"
"10/05/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"10/05/2025","Pix - Recebido","10/05 16:30 REGINA CLAU","3886677889","3.100,00","Entrada"
"00/00/0000","Saldo do dia","","","117.317,55",""
"12/05/2025","Compra com Carto","12/05 Drogaria Araujo","200205","-64,20","Sada"
"14/05/2025","Pix - Enviado","14/05 Uber *UBER","200206","-38,50","Sada"
"15/05/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"16/05/2025","Compra com Carto","16/05 Supermercado BH","200207","-520,30","Sada"
"00/00/0000","Saldo do dia","","","116.645,65",""
"18/05/2025","Pix - Recebido","18/05 13:40 PAULO EMILI","4013344556","2.850,00","Entrada"
"20/05/2025","Compra com Carto","20/05 Padaria Pao de Mel","200208","-26,40","Sada"
"22/05/2025","Pix - Enviado","22/05 iFood *IFOOD","200209","-94,00","Sada"
"24/05/2025","Compra com Carto","24/05 Restaurante Sabor","200210","-62,00","Sada"
"00/00/0000","Saldo do dia","","","119.313,25",""
"26/05/2025","Pix - Enviado","26/05 Posto Petrobras","200211","-150,00","Sada"
"28/05/2025","Compra com Carto","28/05 Uber *UBER","200212","-15,80","Sada"
"30/05/2025","Pix - Enviado","30/05 Supermercado BH","200213","-288,00","Sada"
"31/05/2025","S A L D O","","","118.859,45",""
