"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/03/2024","Saldo Anterior","","","15.336,95",""
"01/03/2024","Compra com Carto","01/03 Posto Petrobras","658764","-25,56","Sada"
"00/00/0000","Saldo do dia","","","15.311,39",""
"03/03/2024","Compra com Carto","03/03 Supermercado BH","360167","-226,07","Sada"
"00/00/0000","Saldo do dia","","","15.085,31",""
"03/03/2024","Pix - Enviado","03/03 iFood *IFOOD","497732","-218,90","Sada"
"04/03/2024","Pix - Recebido","04/03 15:52 Consultoria TI","3934728178","2.471,70","Entrada"
"00/00/0000","Saldo do dia","","","17.338,11",""
"05/03/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"00/00/0000","Saldo do dia","","","15.838,11",""
"08/03/2024","Compra com Carto","08/03 iFood *IFOOD","704620","-220,01","Sada"
"00/00/0000","Saldo do dia","","","15.618,10",""
"10/03/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"00/00/0000","Saldo do dia","","","15.498,10",""
"11/03/2024","Pix - Enviado","11/03 Posto Petrobras","573988","-104,64","Sada"
"00/00/0000","Saldo do dia","","","15.393,46",""
"12/03/2024","Pix - Enviado","12/03 Uber *UBER","279017","-231,90","Sada"
"00/00/0000","Saldo do dia","","","15.161,56",""
"13/03/2024","Compra com Carto","13/03 Livraria Leitura","681504","-211,73","Sada"
"00/00/0000","Saldo do dia","","","14.949,83",""
"13/03/2024","Pix - Enviado","13/03 Uber *UBER","186961","-177,16","Sada"
"15/03/2024","Pix - Recebido","15/03 11:47 PROJETO ALPHA","3961090926","4.471,80","Entrada"
"00/00/0000","Saldo do dia","","","19.244,47",""
"15/03/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"16/03/2024","Compra com Carto","16/03 Drogaria Araujo","499716","-95,09","Sada"
"00/00/0000","Saldo do dia","","","19.103,88",""
"21/03/2024","Compra com Carto","21/03 Restaurante Sabor","672249","-207,24","Sada"
"00/00/0000","Saldo do dia","","","18.896,64",""
"21/03/2024","Compra com Carto","21/03 Padaria Pao de Mel","206677","-59,28","Sada"
"23/03/2024","Pix - Enviado","23/03 Restaurante Sabor","283553","-42,68","Sada"
"00/00/0000","Saldo do dia","","","18.794,68",""
"26/03/2024","Pix - Recebido","26/03 15:53 PROJETO ALPHA","3847505137","2.593,57","Entrada"
"00/00/0000","Saldo do dia","","","21.388,25",""
"29/03/2024","Compra com Carto","29/03 Posto Petrobras","241813","-237,68","Sada"
"00/00/0000","Saldo do dia","","","21.150,57",""
"31/03/2024","S A L D O","","","21.150,57",""
