"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/11/2024","Saldo Anterior","","","62.657,95",""
"01/11/2024","Pix - Enviado","01/11 Uber *UBER","501301","-22,10","Sada"
"02/11/2024","Compra com Carto","02/11 Padaria Pao de Mel","501302","-19,80","Sada"
"00/00/0000","Saldo do dia","","","62.616,05",""
"04/11/2024","Pix - Recebido","04/11 11:30 Consultoria TI","3994411223","5.100,00","Entrada"
"05/11/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"05/11/2024","Compra com Carto","05/11 Restaurante Sabor","501303","-92,40","Sada"
"00/00/0000","Saldo do dia","","","66.123,65",""
"07/11/2024","Pix - Enviado","07/11 iFood *IFOOD","501304","-115,00","Sada"
"08/11/2024","Compra com Carto","08/11 Posto Petrobras","501305","-240,00","Sada"
"10/11/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"00/00/0000","Saldo do dia","","","65.648,65",""
"12/11/2024","Pix - Recebido","12/11 15:50 MARCOS EMILI","9987","3.400,00","Entrada"
"13/11/2024","Compra com Carto","13/11 Drogaria Araujo","501306","-67,20","Sada"
"14/11/2024","Pix - Enviado","14/11 Uber *UBER","501307","-38,50","Sada"
"00/00/0000","Saldo do dia","","","68.942,95",""
"15/11/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"16/11/2024","Compra com Carto","16/11 Supermercado BH","501308","-488,30","Sada"
"18/11/2024","Pix - Enviado","18/11 Restaurante Sabor","501309","-54,00","Sada"
"00/00/0000","Saldo do dia","","","68.355,15",""
"20/11/2024","Pix - Recebido","20/11 10:10 Fernando Borge","84467","2.300,00","Entrada"
"22/11/2024","Compra com Carto","22/11 Posto Petrobras","501310","-210,00","Sada"
"24/11/2024","Pix - Enviado","24/11 iFood *IFOOD","501311","-76,90","Sada"
"00/00/0000","Saldo do dia","","","70.368,25",""
"26/11/2024","Compra com Carto","26/11 Drogaria Araujo","501312","-112,00","Sada"
"28/11/2024","Pix - Enviado","28/11 Uber *UBER","501313","-25,60","Sada"
"29/11/2024","Compra com Carto","29/11 Padaria Pao de Mel","501314","-14,20","Sada"
"30/11/2024","S A L D O","","","70.216,45",""
