"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/12/2025","Saldo Anterior","","","160.255,04",""
"02/12/2025","Pix - Enviado","02/12 Uber *UBER","911201","-33,50","Sada"
"03/12/2025","Compra com Carto","03/12 Padaria Pao de Mel","911202","-25,80","Sada"
"00/00/0000","Saldo do dia","","","160.195,74",""
"05/12/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/12/2025","Pix - Recebido","05/12 09:40 Consultoria TI","3991122334","5.800,00","Entrada"
"06/12/2025","Compra com Carto","06/12 Posto Petrobras","911203","-250,00","Sada"
"00/00/0000","Saldo do dia","","","164.095,74",""
"08/12/2025","Pix - Enviado","08/12 iFood *IFOOD","911204","-142,00","Sada"
"09/12/2025","Compra com Carto","09/12 Restaurante Sabor","911205","-118,00","Sada"
"10/12/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"00/00/0000","Saldo do dia","","","163.700,74",""
"12/12/2025","Pix - Recebido","12/12 15:20 PROJETO ALPHA","4033445566","4.900,00","Entrada"
"13/12/2025","Compra com Carto","13/12 Supermercado BH","911206","-654,90","Sada"
"14/12/2025","Pix - Enviado","14/12 Uber *UBER","911207","-52,00","Sada"
"00/00/0000","Saldo do dia","","","167.893,84",""
"15/12/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"16/12/2025","Compra com Carto","16/12 Drogaria Araujo","911208","-92,30","Sada"
"17/12/2025","Pix - Recebido","17/12 11:00 REGINA","11224","3.500,00","Entrada"
"00/00/0000","Saldo do dia","","","171.252,64",""
"19/12/2025","Pix - Enviado","19/12 iFood *IFOOD","911209","-89,00","Sada"
"20/12/2025","Compra com Carto","20/12 Posto Petrobras","911210","-200,00","Sada"
"22/12/2025","Pix - Enviado","22/12 Restaurante Sabor","911211","-210,00","Sada"
"00/00/0000","Saldo do dia","","","170.753,64",""
"24/12/2025","Compra com Carto","24/12 Padaria Pao de Mel","911212","-156,00","Sada"
"26/12/2025","Pix - Enviado","26/12 Uber *UBER","911213","-44,80","Sada"
"28/12/2025","Compra com Carto","28/12 Supermercado BH","911214","-320,00","Sada"
"00/00/0000","Saldo do dia","","","170.232,84",""
"30/12/2025","Pix - Enviado","30/12 iFood *IFOOD","911215","-112,00","Sada"
"31/12/2025","S A L D O","","","170.120,84",""
