"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/04/2025","Saldo Anterior","","","103.701,85",""
"01/04/2025","Compra com Carto","01/04 Padaria Pao de Mel","100401","-32,10","Sada"
"02/04/2025","Pix - Enviado","02/04 Uber *UBER","100402","-28,50","Sada"
"03/04/2025","Pix - Recebido","03/04 09:50 Consultoria TI","3998811224","5.200,00","Entrada"
"00/00/0000","Saldo do dia","","","108.841,25",""
"05/04/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/04/2025","Compra com Carto","05/04 Restaurante Sabor","100403","-78,90","Sada"
"07/04/2025","Pix - Enviado","07/04 iFood *IFOOD","100404","-112,40","Sada"
"00/00/0000","Saldo do dia","","","106.999,95",""
"08/04/2025","Compra com Carto","08/04 Posto Petrobras","100405","-215,00","Sada"
"10/04/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"10/04/2025","Pix - Recebido","10/04 14:20 PROJETO ALPHA","4066554433","3.850,00","Entrada"
"11/04/2025","Compra com Carto","11/04 Drogaria Araujo","100406","-54,20","Sada"
"00/00/0000","Saldo do dia","","","110.445,75",""
"13/04/2025","Pix - Enviado","13/04 Uber *UBER","100407","-42,00","Sada"
"15/04/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"15/04/2025","Compra com Carto","15/04 Supermercado BH","100408","-482,15","Sada"
"17/04/2025","Pix - Enviado","17/04 Restaurante Sabor","100409","-92,30","Sada"
"00/00/0000","Saldo do dia","","","109.780,40",""
"19/04/2025","Pix - Recebido","19/04 11:10 Fernando Borge","3855778","2.200,00","Entrada"
"20/04/2025","Compra com Carto","20/04 Padaria Pao de Mel","100410","-19,80","Sada"
"22/04/2025","Pix - Enviado","22/04 iFood *IFOOD","100411","-67,00","Sada"
"00/00/0000","Saldo do dia","","","111.893,60",""
"24/04/2025","Compra com Carto","24/04 Drogaria Araujo","100412","-124,50","Sada"
"25/04/2025","Pix - Enviado","25/04 Posto Petrobras","100413","-180,00","Sada"
"27/04/2025","Compra com Carto","27/04 Uber *UBER","100414","-33,20","Sada"
"29/04/2025","Pix - Enviado","29/04 Restaurante Sabor","100415","-110,40","Sada"
"00/00/0000","Saldo do dia","","","111.445,50",""
"30/04/2025","S A L D O","","","111.445,50",""
