"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/11/2025","Saldo Anterior","","","151.915,74",""
"02/11/2025","Compra com Carto","02/11 Padaria Pao de Mel","911101","-18,50","Sada"
"03/11/2025","Pix - Enviado","03/11 Uber *UBER","911102","-34,20","Sada"
"00/00/0000","Saldo do dia","","","151.863,04",""
"04/11/2025","Pix - Recebido","04/11 11:30 Consultoria TI","3994411223","5.400,00","Entrada"
"05/11/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"05/11/2025","Compra com Carto","05/11 Restaurante Sabor","911103","-92,40","Sada"
"00/00/0000","Saldo do dia","","","155.520,64",""
"07/11/2025","Pix - Enviado","07/11 iFood *IFOOD","911104","-115,00","Sada"
"08/11/2025","Compra com Carto","08/11 Posto Petrobras","911105","-240,00","Sada"
"10/11/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"00/00/0000","Saldo do dia","","","155.030,64",""
"12/11/2025","Pix - Recebido","12/11 15:50 PAULO EMILI","4011998877","3.800,00","Entrada"
"13/11/2025","Compra com Carto","13/11 Drogaria Araujo","911106","-67,20","Sada"
"14/11/2025","Pix - Enviado","14/11 Uber *UBER","911107","-38,50","Sada"
"00/00/0000","Saldo do dia","","","158.724,94",""
"15/11/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"16/11/2025","Compra com Carto","16/11 Supermercado BH","911108","-488,30","Sada"
"18/11/2025","Pix - Recebido","18/11 10:10 Saulo Borge","3884455667","2.600,00","Entrada"
"00/00/0000","Saldo do dia","","","160.787,74",""
"20/11/2025","Pix - Enviado","20/11 iFood *IFOOD","911109","-94,00","Sada"
"22/11/2025","Compra com Carto","22/11 Posto Petrobras","911110","-210,00","Sada"
"24/11/2025","Pix - Enviado","24/11 Restaurante Sabor","911111","-76,90","Sada"
"00/00/0000","Saldo do dia","","","160.406,84",""
"26/11/2025","Compra com Carto","26/11 Drogaria Araujo","911112","-112,00","Sada"
"28/11/2025","Pix - Enviado","28/11 Uber *UBER","911113","-25,60","Sada"
"29/11/2025","Compra com Carto","29/11 Padaria Pao de Mel","911114","-14,20","Sada"
"30/11/2025","S A L D O","","","160.255,04",""
