"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/08/2025","Saldo Anterior","","","133.563,50",""
"02/08/2025","Pix - Enviado","02/08 Drogaria Araujo","767027","-347,95","Sada"
"00/00/0000","Saldo do dia","","","133.215,56",""
"02/08/2025","Pix - Enviado","02/08 Supermercado BH","361098","-254,70","Sada"
"02/08/2025","Compra com Carto","02/08 Uber *UBER","497742","-417,13","Sada"
"05/08/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"00/00/0000","Saldo do dia","","","130.893,72",""
"05/08/2025","Pix - Enviado","05/08 Uber *UBER","405892","-421,84","Sada"
"05/08/2025","Compra com Carto","05/08 Supermercado BH","871618","-60,49","Sada"
"06/08/2025","Pix - Recebido","06/08 MARCOS EMILI","325210","4.393,85","Entrada"
"00/00/0000","Saldo do dia","","","134.805,24",""
"10/08/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"00/00/0000","Saldo do dia","","","134.670,24",""
"11/08/2025","Compra com Carto","11/08 Drogaria Araujo","413182","-427,15","Sada"
"00/00/0000","Saldo do dia","","","134.243,09",""
"12/08/2025","Pix - Enviado","12/08 iFood *IFOOD","273931","-308,27","Sada"
"00/00/0000","Saldo do dia","","","133.934,82",""
"13/08/2025","Pix - Enviado","13/08 Restaurante Sabor","743650","-175,12","Sada"
"00/00/0000","Saldo do dia","","","133.759,70",""
"15/08/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"00/00/0000","Saldo do dia","","","133.710,80",""
"15/08/2025","Compra com Carto","15/08 iFood *IFOOD","509742","-395,90","Sada"
"15/08/2025","Compra com Carto","15/08 Drogaria Araujo","822201","-324,54","Sada"
"15/08/2025","Compra com Carto","15/08 iFood *IFOOD","115247","-245,79","Sada"
"20/08/2025","Pix - Enviado","20/08 Restaurante Sabor","841703","-59,22","Sada"
"00/00/0000","Saldo do dia","","","132.685,34",""
"23/08/2025","Pix - Recebido","23/08 PROJETO ALPHA","4040478","2.343,28","Entrada"
"00/00/0000","Saldo do dia","","","135.028,62",""
"25/08/2025","Compra com Carto","25/08 Supermercado BH","198437","-124,61","Sada"
"00/00/0000","Saldo do dia","","","134.904,01",""
"26/08/2025","Compra com Carto","26/08 Uber *UBER","343857","-245,20","Sada"
"00/00/0000","Saldo do dia","","","134.658,81",""
"31/08/2025","S A L D O","","","134.658,81",""
