"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/02/2024","Saldo Anterior","","","11.326,49",""
"01/02/2024","Pix - Enviado","01/02 Supermercado BH","654338","-233,26","Sada"
"00/00/0000","Saldo do dia","","","11.093,24",""
"03/02/2024","Compra com Carto","03/02 Livraria Leitura","182593","-215,54","Sada"
"00/00/0000","Saldo do dia","","","10.877,70",""
"03/02/2024","Compra com Carto","03/02 Padaria Pao de Mel","698547","-219,47","Sada"
"03/02/2024","Compra com Carto","03/02 Supermercado BH","374095","-145,28","Sada"
"05/02/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"00/00/0000","Saldo do dia","","","9.012,94",""
"05/02/2024","Compra com Carto","05/02 Uber *UBER","823584","-188,16","Sada"
"08/02/2024","Pix - Recebido","08/02 11:41 PROJETO ALPHA","3878744969","2.727,59","Entrada"
"00/00/0000","Saldo do dia","","","11.552,38",""
"10/02/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"00/00/0000","Saldo do dia","","","11.432,38",""
"14/02/2024","Pix - Enviado","14/02 Uber *UBER","191052","-136,40","Sada"
"00/00/0000","Saldo do dia","","","11.295,98",""
"14/02/2024","Pix - Enviado","14/02 Posto Petrobras","721493","-147,01","Sada"
"15/02/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"00/00/0000","Saldo do dia","","","11.103,48",""
"18/02/2024","Pix - Recebido","18/02 14:33 Consultoria TI","4040360035","2.013,39","Entrada"
"00/00/0000","Saldo do dia","","","13.116,87",""
"18/02/2024","Compra com Carto","18/02 iFood *IFOOD","598112","-85,17","Sada"
"22/02/2024","Compra com Carto","22/02 Padaria Pao de Mel","279418","-73,89","Sada"
"00/00/0000","Saldo do dia","","","12.957,81",""
"23/02/2024","Pix - Enviado","23/02 Posto Petrobras","644707","-168,23","Sada"
"00/00/0000","Saldo do dia","","","12.789,58",""
"25/02/2024","Pix - Recebido","25/02 11:50 MARCOS EMILI","990402","2.547,36","Entrada"
"00/00/0000","Saldo do dia","","","15.336,95",""
"29/02/2024","S A L D O","","","15.336,95",""
