"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/09/2025","Saldo Anterior","","","134.658,81",""
"01/09/2025","Pix - Enviado","01/09 Livraria Leitura","232524","-418,70","Sada"
"00/00/0000","Saldo do dia","","","134.240,11",""
"03/09/2025","Compra com Carto","03/09 Drogaria Araujo","382260","-35,32","Sada"
"00/00/0000","Saldo do dia","","","134.204,79",""
"05/09/2025","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.650,00","Sada"
"00/00/0000","Saldo do dia","","","132.554,79",""
"05/09/2025","Pix - Enviado","05/09 Uber *UBER","614844","-55,13","Sada"
"09/09/2025","Pix - Recebido","09/09 MARCOS EMILI","441557","2.535,53","Entrada"
"00/00/0000","Saldo do dia","","","135.035,20",""
"09/09/2025","Compra com Carto","09/09 Posto Petrobras","200630","-115,27","Sada"
"10/09/2025","Pagamento de boleto","INTERNET FIBRA","80102","-135,00","Sada"
"00/00/0000","Saldo do dia","","","134.784,93",""
"14/09/2025","Compra com Carto","14/09 Padaria Pao de Mel","819128","-60,30","Sada"
"00/00/0000","Saldo do dia","","","134.724,63",""
"14/09/2025","Compra com Carto","14/09 Drogaria Araujo","894098","-413,47","Sada"
"15/09/2025","Seguro","SEGURO DE VIDA","1780","-48,90","Sada"
"00/00/0000","Saldo do dia","","","134.262,27",""
"19/09/2025","Pix - Enviado","19/09 Uber *UBER","450404","-234,50","Sada"
"00/00/0000","Saldo do dia","","","134.027,77",""
"20/09/2025","Pix - Recebido","20/09 Consultoria TI","4013726446","2.228,61","Entrada"
"00/00/0000","Saldo do dia","","","136.256,38",""
"21/09/2025","Pix - Recebido","21/09 REGINA","084616","4.668,14","Entrada"
"00/00/0000","Saldo do dia","","","140.924,52",""
"24/09/2025","Compra com Carto","24/09 Padaria Pao de Mel","254133","-372,10","Sada"
"00/00/0000","Saldo do dia","","","140.552,42",""
"24/09/2025","Compra com Carto","24/09 Drogaria Araujo","621889","-371,73","Sada"
"26/09/2025","Compra com Carto","26/09 Padaria Pao de Mel","155678","-130,20","Sada"
"00/00/0000","Saldo do dia","","","140.050,50",""
"28/09/2025","Pix - Recebido","28/09 MARCOS EMILI","330192","4.933,66","Entrada"
"00/00/0000","Saldo do dia","","","144.984,16",""
"28/09/2025","Pix - Enviado","28/09 Restaurante Sabor","724424","-114,45","Sada"
"30/09/2025","Pix - Enviado","30/09 Restaurante Sabor","796761","-431,17","Sada"
"00/00/0000","Saldo do dia","","","144.438,54",""
"30/09/2025","S A L D O","","","144.438,54",""
