"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/07/2024","Saldo Anterior","","","35.113,87",""
"01/07/2024","Compra com Carto","01/07 Padaria Pao de Mel","101293","-18,90","Sada"
"02/07/2024","Pix - Enviado","02/07 Uber *UBER","202391","-34,50","Sada"
"00/00/0000","Saldo do dia","","","35.060,47",""
"03/07/2024","Pix - Recebido","03/07 09:15 Consultoria TI","3991827361","4.200,00","Entrada"
"03/07/2024","Compra com Carto","03/07 Posto Petrobras","301922","-210,00","Sada"
"00/00/0000","Saldo do dia","","","39.050,47",""
"05/07/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"05/07/2024","Compra com Carto","05/07 Restaurante Sabor","401922","-65,40","Sada"
"00/00/0000","Saldo do dia","","","37.485,07",""
"08/07/2024","Pix - Enviado","08/07 iFood *IFOOD","501922","-88,20","Sada"
"08/07/2024","Compra com Carto","08/07 Drogaria Araujo","601922","-124,30","Sada"
"00/00/0000","Saldo do dia","","","37.272,57",""
"10/07/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"10/07/2024","Compra com Carto","10/07 Supermercado BH","701922","-456,12","Sada"
"00/00/0000","Saldo do dia","","","36.696,45",""
"12/07/2024","Pix - Recebido","12/07 14:10 PROJETO ALPHA","4019283746","3.850,00","Entrada"
"13/07/2024","Pix - Enviado","13/07 Uber *UBER","801922","-42,00","Sada"
"00/00/0000","Saldo do dia","","","40.504,45",""
"15/07/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"15/07/2024","Compra com Carto","15/07 Padaria Pao de Mel","901922","-12,40","Sada"
"16/07/2024","Pix - Enviado","16/07 iFood *IFOOD","101922","-76,00","Sada"
"00/00/0000","Saldo do dia","","","40.370,55",""
"18/07/2024","Compra com Carto","18/07 Restaurante Sabor","111922","-54,90","Sada"
"20/07/2024","Pix - Enviado","20/07 Posto Petrobras","121922","-180,00","Sada"
"21/07/2024","Compra com Carto","21/07 Drogaria Araujo","131922","-32,15","Sada"
"00/00/0000","Saldo do dia","","","40.103,50",""
"23/07/2024","Pix - Recebido","23/07 11:30 Fernando Borge","172654","2.450,00","Entrada"
"25/07/2024","Compra com Carto","25/07 Supermercado BH","141922","-289,40","Sada"
"26/07/2024","Pix - Enviado","26/07 Uber *UBER","151922","-19,80","Sada"
"00/00/0000","Saldo do dia","","","42.244,30",""
"28/07/2024","Compra com Carto","28/07 Padaria Pao de Mel","161922","-45,30","Sada"
"29/07/2024","Pix - Enviado","29/07 iFood *IFOOD","171922","-92,00","Sada"
"30/07/2024","Compra com Carto","30/07 Restaurante Sabor","181922","-110,00","Sada"
"00/00/0000","Saldo do dia","","","41.997,00",""
"31/07/2024","S A L D O","","","41.997,00",""
