"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/09/2024","Saldo Anterior","","","48.543,95",""
"02/09/2024","Compra com Carto","02/09 Padaria Pao de Mel","301950","-22,80","Sada"
"03/09/2024","Pix - Enviado","03/09 Uber *UBER","301951","-37,60","Sada"
"00/00/0000","Saldo do dia","","","48.483,55",""
"05/09/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"05/09/2024","Pix - Recebido","05/09 11:15 Consultoria TI","3992837465","4.600,00","Entrada"
"06/09/2024","Compra com Carto","06/09 Restaurante Sabor","301952","-82,40","Sada"
"00/00/0000","Saldo do dia","","","51.501,15",""
"08/09/2024","Pix - Enviado","08/09 iFood *IFOOD","301953","-65,00","Sada"
"09/09/2024","Compra com Carto","09/09 Drogaria Araujo","301954","-145,20","Sada"
"10/09/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"00/00/0000","Saldo do dia","","","51.170,95",""
"12/09/2024","Pix - Recebido","12/09 15:20 PROJETO ALPHA","4039281745","3.400,00","Entrada"
"13/09/2024","Compra com Carto","13/09 Supermercado BH","301955","-388,40","Sada"
"14/09/2024","Pix - Enviado","14/09 Uber *UBER","301956","-41,20","Sada"
"00/00/0000","Saldo do dia","","","54.141,35",""
"15/09/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"16/09/2024","Compra com Carto","16/09 Padaria Pao de Mel","301957","-18,30","Sada"
"17/09/2024","Pix - Enviado","17/09 Restaurante Sabor","301958","-56,00","Sada"
"00/00/0000","Saldo do dia","","","54.021,55",""
"19/09/2024","Compra com Carto","19/09 Posto Petrobras","301959","-240,00","Sada"
"20/09/2024","Pix - Enviado","20/09 iFood *IFOOD","301960","-102,50","Sada"
"21/09/2024","Pix - Recebido","21/09 09:30 Saulo Borge","3884756213","2.150,00","Entrada"
"00/00/0000","Saldo do dia","","","55.829,05",""
"23/09/2024","Compra com Carto","23/09 Drogaria Araujo","301961","-34,60","Sada"
"25/09/2024","Pix - Enviado","25/09 Uber *UBER","301962","-29,90","Sada"
"26/09/2024","Compra com Carto","26/09 Supermercado BH","301963","-412,00","Sada"
"00/00/0000","Saldo do dia","","","55.352,55",""
"28/09/2024","Pix - Enviado","28/09 iFood *IFOOD","301964","-55,20","Sada"
"29/09/2024","Compra com Carto","29/09 Restaurante Sabor","301965","-94,00","Sada"
"30/09/2024","Pix - Enviado","30/09 Posto Petrobras","301966","-180,00","Sada"
"00/00/0000","Saldo do dia","","","55.023,35",""
"30/09/2024","S A L D O","","","55.023,35",""
